Date, Thread, Level, Logger, Message
2024-05-30T13:30:42.899, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/help/?ref=pf Status code: 200"
2024-05-30T13:30:43.250, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/help/637205020878504 Status code: 200"
2024-05-30T13:30:43.979, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/settings Status code: 200"
2024-05-30T13:30:44.349, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://pa-in.facebook.com/allactivity?privacy_source=activity_log_top_menu Status code: 200"
2024-05-30T13:30:45.314, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/reg/ Status code: 200"
2024-05-30T13:30:45.369, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/lite/ Status code: 200"
2024-05-30T13:30:45.700, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.facebook.com/watch/ Status code: 200"
2024-05-30T13:30:46.625, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/places/ Status code: 200"
2024-05-30T13:30:47.819, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/games/ Status code: 200"
2024-05-30T13:30:48.697, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/marketplace/ Status code: 200"
2024-05-30T13:30:49.060, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT3gq8HSlShP7Epw8gqGFrUcNk53I0EFPGypORUCxIdMV52kabJmJWhxtz06zy096DB4GOGCkdm5g1grirNd-Zkhi_3uKHAZvA1f8Df3zFkLyuiDBifvwZ7gU5E-JwOMO9uBw79Sp7TwKmLv Status code: 200"
2024-05-30T13:30:50.567, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/ Status code: 200"
